system:index,1995-05-01_score_mean,1995-06-01_score_mean,1995-07-01_score_mean,1995-08-01_score_mean,1995-09-01_score_mean,1996-05-01_score_mean,1996-06-01_score_mean,1996-07-01_score_mean,1996-08-01_score_mean,1996-09-01_score_mean,1997-05-01_score_mean,1997-06-01_score_mean,1997-07-01_score_mean,1997-08-01_score_mean,1997-09-01_score_mean,1998-05-01_score_mean,1998-06-01_score_mean,1998-07-01_score_mean,1998-08-01_score_mean,1998-09-01_score_mean,1999-05-01_score_mean,1999-06-01_score_mean,1999-07-01_score_mean,1999-08-01_score_mean,1999-09-01_score_mean,2000-05-01_score_mean,2000-06-01_score_mean,2000-07-01_score_mean,2000-08-01_score_mean,2000-09-01_score_mean,2001-05-01_score_mean,2001-06-01_score_mean,2001-07-01_score_mean,2001-08-01_score_mean,2001-09-01_score_mean,2002-05-01_score_mean,2002-06-01_score_mean,2002-07-01_score_mean,2002-08-01_score_mean,2002-09-01_score_mean,2003-05-01_score_mean,2003-06-01_score_mean,2003-07-01_score_mean,2003-08-01_score_mean,2003-09-01_score_mean,2004-05-01_score_mean,2004-06-01_score_mean,2004-07-01_score_mean,2004-08-01_score_mean,2004-09-01_score_mean,2005-05-01_score_mean,2005-06-01_score_mean,2005-07-01_score_mean,2005-08-01_score_mean,2005-09-01_score_mean,2006-05-01_score_mean,2006-06-01_score_mean,2006-07-01_score_mean,2006-08-01_score_mean,2006-09-01_score_mean,2007-05-01_score_mean,2007-06-01_score_mean,2007-07-01_score_mean,2007-08-01_score_mean,2007-09-01_score_mean,2008-05-01_score_mean,2008-06-01_score_mean,2008-07-01_score_mean,2008-08-01_score_mean,2008-09-01_score_mean,2009-05-01_score_mean,2009-06-01_score_mean,2009-07-01_score_mean,2009-08-01_score_mean,2009-09-01_score_mean,2010-05-01_score_mean,2010-06-01_score_mean,2010-07-01_score_mean,2010-08-01_score_mean,2010-09-01_score_mean,2011-05-01_score_mean,2011-06-01_score_mean,2011-07-01_score_mean,2011-08-01_score_mean,2011-09-01_score_mean,2012-05-01_score_mean,2012-06-01_score_mean,2012-07-01_score_mean,2012-08-01_score_mean,2012-09-01_score_mean,2013-05-01_score_mean,2013-06-01_score_mean,2013-07-01_score_mean,2013-08-01_score_mean,2013-09-01_score_mean,2014-05-01_score_mean,2014-06-01_score_mean,2014-07-01_score_mean,2014-08-01_score_mean,2014-09-01_score_mean,2015-05-01_score_mean,2015-06-01_score_mean,2015-07-01_score_mean,2015-08-01_score_mean,2015-09-01_score_mean,2016-05-01_score_mean,2016-06-01_score_mean,2016-07-01_score_mean,2016-08-01_score_mean,2016-09-01_score_mean,2017-05-01_score_mean,2017-06-01_score_mean,2017-07-01_score_mean,2017-08-01_score_mean,2017-09-01_score_mean,2018-05-01_score_mean,2018-06-01_score_mean,2018-07-01_score_mean,2018-08-01_score_mean,2018-09-01_score_mean,2019-05-01_score_mean,2019-06-01_score_mean,2019-07-01_score_mean,2019-08-01_score_mean,2019-09-01_score_mean,2020-05-01_score_mean,2020-06-01_score_mean,2020-07-01_score_mean,2020-08-01_score_mean,2020-09-01_score_mean,hotplot,id,.geo
0,-2.552054644,,-0.358407378,-0.101355113,,,-0.922937632,-1.790554166,-1.07800436,,-1.538524389,-0.568059027,,,,-3.97E-04,,-0.870870888,-3.246209621,-0.184009597,,0.986711383,,0.184961841,0.409999937,,,,0.292040348,0.341617852,1.293725014,1.964634418,1.376802087,,1.684313536,0.18719168,2.299838781,2.593879938,,1.643812895,,,1.677932262,0.888479412,,,1.28822732,0.946411908,0.79243052,-3.830948591,-2.751513481,-0.052016843,0.9074651,,-0.445005924,-1.20447278,,-0.354000807,,-1.896028876,-1.388023853,0.807227433,,0.563945055,1.054597974,-0.210576266,1.021155834,,-0.365047365,-0.037299991,1.923654199,2.983547688,0.562588573,0.559400082,-0.138442814,1.361594677,1.453011155,0.660540223,0.614807487,0.695182323,-1.289329767,-0.549002469,-0.293218434,,-0.093744576,,0.375314146,0.219463423,0.349607527,-0.097457498,-1.459246993,0.26078549,-0.504404664,-0.234092414,,-1.710473776,2.10561657,1.394882321,1.683520794,2.463289499,0.204418972,,,0.930362165,1.661194682,0.053170644,1.874323249,0.725221932,1.834881067,0.815798461,-1.12708056,-1.137930036,-2.608804941,-1.734712005,-2.095725298,-1.200981855,-0.184172407,-0.934595287,,-0.497806668,-1.395754695,-0.206470788,-0.010944101,-0.409464478,-1.714481831,-2.011495352,0.240994364,0.392154098,0.204673082,-0.411245555,1_0,1,"{""type"":""Point"",""coordinates"":[-72.38960834837312,42.318630342117494]}"
1,-2.255997658,,-0.354510665,-0.444092602,,,-1.173058152,-2.064557791,-1.004628062,,-1.716933727,-0.362639427,,,,-0.299904317,,-1.030911446,-3.472750902,-0.736890674,,0.965961933,,-0.100740045,0.013501614,,,,0.287545353,0.081492685,0.726675153,1.619409442,1.053611994,,1.344671369,0.383237123,1.996293902,2.327297449,,1.443244815,,,1.17711246,0.529943645,,,1.101256967,0.173594922,0.527652383,-5.906671524,-2.227526426,-2.143045187,0.103714474,,-0.647762299,-0.908448935,,-0.643924177,,-1.283859968,-1.636715412,0.21081613,,0.06417492,0.569770694,-0.422964603,0.986982822,,-0.368414193,-0.272479951,1.430468321,2.970123053,0.59904325,0.52212882,0.223189041,1.234224558,1.499959111,0.947848797,1.061390042,1.10046649,-0.597148836,-0.238033906,0.362788051,,0.701371491,,0.658868968,0.392418712,0.513673186,0.575182974,-0.933991075,0.848102093,-0.111966319,0.051441796,0.707219064,-2.058567762,1.543230414,1.022803068,0.881440699,1.832139969,-0.508468211,,,1.187310815,1.33182919,-0.696436584,0.998564005,0.279186994,0.575267494,0.335907012,-1.533693671,-1.55970335,-2.997156382,-2.092934608,-2.145353556,-1.73299706,-0.239499852,-0.69123745,,-0.188453391,-1.247127056,-0.02637315,0.084595211,-1.059520125,-1.968032837,-1.228391647,0.900837898,0.153669611,0.222967222,0.02819314,1_1,2,"{""type"":""Point"",""coordinates"":[-72.39003642207425,42.31845643717641]}"
2,-2.62415123,,0.204693124,0.609805584,,,1.058942676,0.243736699,0.341172963,,-0.898091137,1.588847518,,,,0.830741107,,0.369513869,,,,1.745403051,1.807356119,0.354596049,0.337694764,,1.583595395,,-0.369474858,-0.612980127,0.076079443,0.656509519,-0.05708218,-0.8468557,0.165778905,-1.334108353,0.778183639,-1.54661119,,0.377251029,0.628885686,,0.239205465,,,,,-0.275666147,-0.245491683,,-2.685269833,0.09068083,0.509599388,,-0.361580193,-0.495101094,-1.567531466,-1.158370018,0.806219816,-0.842185795,0.921641171,1.84972477,1.74379921,1.207330823,1.49586463,-0.128854796,1.834822416,1.036453247,0.076949485,-0.084918283,1.300247192,,0.235869557,0.164653957,-0.731654167,0.79769659,0.421460301,-0.904561102,0.285455346,-0.443998992,-1.121551514,0.845501125,-0.051084049,,0.042492349,,0.048750225,-0.078755975,0.440160275,-0.087349474,-1.318681598,0.384163231,,-0.23062025,0.119421735,-2.156030893,2.806761026,1.610200524,1.252454758,1.671161294,-0.019218659,,,0.986089468,2.58525753,-1.048981905,1.294156432,0.53357023,1.022309542,0.147923425,-1.466482043,,-1.875790834,-1.337395072,-1.832589984,-1.349219561,0.434292585,-0.340247363,,,-0.07179869,-0.386764258,0.005107548,0.554436207,-1.073980212,-2.022052526,0.691027284,0.655239224,,-0.60426873,1_3,3,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.32352197597313]}"
3,-2.66152072,,0.419541299,0.877275586,,,1.005773306,0.011348796,0.638295352,,-1.204472423,1.345933318,,,,0.663702607,,0.224712759,,-0.052545551,,1.561196208,1.338186264,0.291200638,-0.253828228,,1.617297053,,0.743063569,-0.372729421,0.052063406,0.445845068,-0.018078702,-0.701858103,0.518637598,-1.39448452,0.726692438,0.042664837,,0.464450181,0.002674244,,-0.002150964,-0.780575573,,,0.360099047,-0.344445407,-0.492257118,,-3.032520056,0.542656004,0.131486356,,-0.351111174,-0.797398448,0.149185792,-0.732237756,0.277877778,-1.072676897,1.198387623,2.010473728,1.399009466,0.90956533,0.762369335,0.003666631,0.132387415,1.100702763,0.339331686,0.421203434,,2.399850607,0.292833477,0.432367772,0.07731697,1.28915143,1.091958642,0.38255313,0.737519681,0.229934424,-1.077803254,0.517614782,-0.200487226,0.409710675,0.008234623,,,0.144742325,-0.069206201,0.066305369,-1.259171128,0.410035372,-0.686329842,-0.346089423,-0.118223548,-1.536407948,,1.881783485,,1.969624996,0.100452431,,,1.574433923,2.328533411,-2.044051409,1.525143266,0.963174939,0.835579276,1.002655625,-1.09256494,-0.924533546,-2.539357424,-1.639577508,-1.868083358,-1.154821277,,-0.455778241,,-0.738880098,-0.824189246,-0.021788469,-0.28822127,0.162100181,-1.312226892,-1.839024305,0.551573098,0.231709391,0.035252851,-0.830764353,1_7,4,"{""type"":""Point"",""coordinates"":[-72.37846505484056,42.32151983960013]}"
4,-2.9725945,,-0.318718672,0.161169082,,,-0.159431964,-0.948184431,-0.152058512,,-1.421551704,0.267875671,,,,0.484087527,,-0.720930696,,-2.591039419,,1.837252498,1.080898762,0.561368465,0.512326002,,,,0.257779956,0.025747666,1.428913951,1.088858485,0.622795165,0.335198224,1.106329679,-0.750886619,0.554325342,0.155926853,,0.361772746,0.33311516,,0.383991092,-0.00237619,,,-0.001794502,-0.773249149,-1.489689708,,-3.151668072,0.134009436,0.805696726,,-0.357056975,-0.665322542,0.710038066,-0.638838172,0.288838625,-1.10454762,1.516550422,2.046340942,2.127084255,1.720379591,1.030874848,0.235082358,1.369819164,1.675070763,0.871756852,0.774534404,3.020462513,2.97456789,0.18749994,0.913083673,0.568946123,1.617895246,0.753262162,-0.416698188,1.002764583,-0.2174775,-1.583745003,-0.267639726,-0.611023903,0.160193324,,,-0.857505202,-1.099048376,-0.461628616,-1.285904884,-2.43874383,-0.46709004,-1.576520205,-0.452125341,-0.50529784,-1.824886203,2.05893445,-0.124785021,1.270857096,1.717378378,,,1.87387085,1.998954535,2.137778759,-0.746735632,-0.065751486,-1.851152182,-1.435813665,-1.487628698,-0.645867825,-1.629042983,-2.817849159,-2.54768014,-2.846646547,-1.290354133,-1.215389371,-1.783470869,,-2.244114876,-0.806101263,-0.973950684,-1.244518042,-1.042095304,-1.395114183,-1.232775211,0.298357785,0.272860825,0.235839948,-1.006118774,1_9,5,"{""type"":""Point"",""coordinates"":[-72.37580743061271,42.31827807313427]}"
5,-2.711102247,,-0.075276844,0.42861706,,,0.560959101,-0.496145546,0.24027133,,-1.378628373,1.284122586,,,,0.242290497,,0.118070573,-0.907812893,,,1.37727201,1.308520079,0.393807054,0.213050321,,1.632578969,,0.062791377,-0.336656123,-0.360857219,0.608660519,0.279876858,,0.554014087,-1.687173247,0.174555242,0.474719077,,0.294093043,0.272504628,,0.349993378,,,,0.02919906,-0.419494778,-0.039885882,,-3.363058805,0.721340418,0.215607747,,0.050452899,,1.687855005,-0.542428553,,-0.763789356,-0.866743147,1.205313563,,0.363170713,0.956969142,-0.232393548,1.351437926,1.004619122,-0.216613069,-0.119236901,,2.092358351,-0.376047164,-0.081605345,-0.370839328,0.857739508,0.910674274,-0.286966234,0.361292928,0.149139479,-1.639715195,0.980059326,0.073188066,,-0.211509034,,0.625497937,0.601973355,0.893790305,0.108480409,-1.13787818,0.740593195,0.624151647,0.254374534,0.600844979,-2.183983326,2.890133619,1.019413233,2.370905161,3.341651917,0.368259549,,,1.213912964,2.085040569,-2.164066553,0.61054194,1.019490004,1.190334201,0.99582541,-1.043271422,,-2.85080719,-1.845167518,-1.907359362,-1.016680002,0.370476097,-0.342186123,,,0.117508791,-0.191509098,-0.586519599,-0.432299793,-0.332458556,-2.015214205,0.365688652,0.366204292,,,1_13,6,"{""type"":""Point"",""coordinates"":[-72.38739663425062,42.32410165911008]}"
6,-2.497798204,,-0.011005616,0.089956507,,,0.374106467,-0.497813851,0.099695496,,-1.248548508,1.489507198,,,,0.41318813,,0.369569212,,-0.093598627,,2.09768486,2.108827591,0.492836684,0.360359132,,1.931194544,,0.735274076,-0.153407216,0.279106766,0.898949385,0.308278084,0.277238816,0.476002425,-1.607029796,0.546539962,-0.038889498,,0.216324374,-0.147943631,,0.299543083,-0.45274353,,,0.274439245,-0.667475939,-0.396675259,,-3.086687803,0.215739489,0.128752336,,-0.487474859,-0.63852042,-1.029485941,-0.316526949,0.54170084,-1.124656081,1.141246557,1.561564207,1.550791621,0.829218745,0.643324077,0.059402611,1.539710164,1.030295968,0.185614437,0.035207294,2.35008359,2.819357157,0.577995539,0.208634675,-0.081332311,1.164486289,0.885572553,-0.503872991,0.474050015,-0.218505412,-1.63724339,0.724210322,-0.076139383,,-0.580359995,,0.320894837,-0.027872117,0.225961104,-0.194618508,,,-1.120748758,-0.306301683,-0.3697249,-1.758901358,2.523984671,,1.627846122,2.545091867,-1.959609509,,,2.691406012,2.201336622,-0.930223167,1.33873415,0.31737563,1.010211229,0.568927884,-0.914552093,-1.103636503,-2.731436968,-1.758442402,-2.250664234,-0.90711385,0.260985464,-0.350792199,,-1.041550875,-0.734567285,-0.185512006,-0.398525804,0.402918905,-1.492971182,-2.016159534,0.942183197,0.287135005,-0.343832016,-1.172602057,1_19,7,"{""type"":""Point"",""coordinates"":[-72.37991426268293,42.31930812547762]}"
7,-2.508587599,,-0.047954109,0.270236373,,,0.585657358,-0.238080591,0.05947281,,-1.077869415,1.295809507,,,,0.558104753,,0.261984169,,0.036989253,,1.93333292,,0.790991247,-0.037349612,,,,0.018573018,-0.463141143,-0.065711752,1.203022718,0.744997919,0.50438875,0.660045683,-1.802065849,1.243711948,0.934253871,,0.352647394,0.184155181,,0.488315195,-0.725416064,,,0.980068564,-0.354884744,-0.373296708,,-3.058929443,0.787886262,0.805280864,,-0.217718288,-0.846470892,1.323511124,0.165226609,0.495111465,-0.705382705,-0.866704047,2.401262999,,1.033877492,1.230537772,-0.300780952,,1.238627434,0.03023481,0.151958853,1.987100005,-0.844960332,0.932514668,0.47127828,-0.179257974,1.165206552,1.08305788,-0.445580631,0.843104541,0.441774279,-1.472518325,-0.483500779,-0.057142232,,,,0.718622863,0.202297315,0.472021878,-0.319374025,-1.469385386,0.776085198,-0.52966994,0.105657965,,-1.304474354,2.635439873,1.271315575,1.725393295,2.305583954,,,,0.976124406,0.782484889,-0.742528379,1.78774631,0.958126247,0.654569089,1.140092134,-0.879844546,-0.684958756,-2.640660763,-2.591056824,-2.60264802,-0.845875502,0.717124879,0.126244664,,-0.193208978,-0.661984503,-0.076968536,-0.425760567,-0.016334407,-0.250177026,-1.851771474,0.214715779,0.156508565,-0.15969874,-0.775160789,1_23,8,"{""type"":""Point"",""coordinates"":[-72.38580473517453,42.31988334951352]}"
8,-2.076495171,,-0.06873408,0.148501694,,,1.175768375,-0.220491171,0.417365491,,-0.741151989,1.584283948,,,,0.211567432,,0.545073569,,,,1.588438749,1.837949157,0.170314237,0.166848466,,1.172503948,,-0.338257641,-0.551772475,-0.971580982,0.869061232,0.078968711,-0.183823556,0.004079718,-1.474589825,0.824323773,0.071392104,,0.236890391,-0.1068248,,0.494536161,-0.13538675,,,1.356910944,0.337168992,0.23756507,,-2.498955727,0.534683049,0.520101309,,0.464560211,-0.59106791,,0.149225026,0.083656125,-1.747561693,0.934062243,1.470219016,,0.660280943,0.983333051,-0.725833237,1.535363555,0.23451218,-0.675906479,-0.499412268,1.264214396,-0.9332968,-0.154835656,-0.196241543,-0.097150825,-0.747018814,1.056370854,-0.033318307,0.019915469,0.360437959,-1.129909396,,0.185256287,,0.189921185,,1.042854428,0.777643561,0.700508237,0.558914065,-0.972174108,1.470791698,0.119698487,0.449494183,0.965605736,-1.324687004,,1.051881194,1.246601462,1.761677623,-0.13759467,,,0.223626301,1.627324462,-0.650947809,1.646782517,0.94313097,0.885716558,0.636898994,-1.169426918,-0.253782302,-1.550963879,-1.142085075,-0.988248408,-1.270843029,,-0.261628956,,-0.680204153,-0.786344051,0.40478912,0.521612644,0.168184489,-0.18517895,-1.961724639,0.767852783,0.120487534,0.062714487,-0.283888936,1_28,9,"{""type"":""Point"",""coordinates"":[-72.38163547568956,42.32102933848425]}"
9,-2.895003796,,-0.049995862,0.705360651,,,1.024280787,-0.292784899,0.362309515,,-1.340777516,1.255721807,,,,0.219435647,,0.315054715,,-2.205230951,,1.572721004,1.027754664,-0.005808367,-0.101396695,,1.803694487,,0.627360523,-0.281482399,0.147062138,0.894181788,0.094643906,-0.389092296,0.508247554,-1.117480993,0.797314942,0.027131839,,0.747716486,-0.252455175,,0.285675526,-0.299574792,,,0.28543362,-0.525425255,-0.33878395,,-2.867224216,0.310857177,0.252824605,,0.032512609,-0.978888452,,-0.644860446,-0.082413934,-0.979034424,1.032265067,2.076191425,,1.053539515,0.9710235,0.027970051,0.42017594,0.885556579,0.400914192,0.533714771,1.580011964,2.569424629,-0.005184931,0.294267863,0.016772274,1.261546135,1.138834476,-0.440308154,0.507888377,0.238892153,-1.08036077,0.596585214,-0.30715999,0.442012757,0.005098454,,,-0.162470087,0.185490742,-5.55E-04,-1.226563573,0.747240782,-1.000841498,-0.011098687,-0.179924056,-1.569489837,,1.882983685,,1.724752426,-0.005141625,,,1.866642594,2.360292912,-0.760843754,1.509239197,1.04360044,1.188665867,0.996140182,-1.095074177,-0.926800191,-2.276041746,-1.454295993,-1.407402754,-1.129569769,,-0.367476583,,-0.630313396,-0.826505184,-0.008970342,-0.237514883,0.224623337,-1.194555998,-1.846734762,0.604008734,0.30652687,0.087849602,-0.639514625,1_29,10,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.321287966345345]}"
0000000000000000000a,-2.057172775,,0.269971222,0.253447175,,,1.32697928,0.042088538,0.467599541,,-0.531030715,1.676286697,,,,-0.170734167,,-0.112843283,,-0.73877579,,1.250695705,1.174419641,-0.133788303,-1.342325687,,,,0.108201616,-0.65502423,-0.463021845,0.88426733,0.686987817,0.45920822,0.394378871,-0.648991048,1.847217202,1.2918396,,1.12844944,0.923904061,,1.790689468,1.191516161,,,2.056976557,1.003315687,0.715311348,,-1.814478159,1.612816215,1.327966332,,0.98428458,-0.387719452,1.572368741,0.059020624,0.915055931,-0.535488248,-1.021212459,1.76768446,,0.15287365,0.389276892,-0.718104303,0.616625488,0.015867705,-0.755908072,-0.837075293,1.414314747,1.357012033,0.032451328,-0.229795158,-0.24718298,0.57931149,0.974228442,-0.659907341,0.287256598,0.177544981,-1.074723959,0.971119821,-0.156839862,,,,0.79706943,0.508552253,0.527926207,0.039665304,-1.489001513,1.252013803,0.088965081,0.311669081,0.673024356,-1.473079324,2.107627392,0.918746352,1.025174618,1.504253626,,,,0.667170227,0.961274326,-1.035359859,1.414594293,0.784227014,0.972662568,0.919849157,-1.367016912,-0.138969153,-1.352279305,-0.878354728,-0.655331969,-1.32008779,0.590916872,-0.057541139,,-0.086148679,-0.754881382,0.470755607,0.12087664,-0.014896719,0.360282987,-2.017638922,0.752947569,0.240078375,-0.103823788,-0.340531528,1_30,11,"{""type"":""Point"",""coordinates"":[-72.38327642487722,42.319406225700796]}"
0000000000000000000b,-3.491458416,,-0.287121892,-0.02687664,,,-0.195169032,-0.709299803,-0.125927612,,-1.257919192,0.645357132,,,,1.008473396,,-0.243895993,,-0.999617398,,1.933697224,1.979940295,0.749964058,0.394696921,,,,0.525381505,0.19030869,1.141424298,1.119404793,0.500879824,0.111456461,0.908913732,-0.61494267,0.478470325,0.38117227,,0.164283082,0.364909708,,0.542154849,-0.617325962,,,-0.011163619,-0.632009268,-0.376955539,,-3.266050577,0.315382302,0.602291524,,-0.372528434,-0.091827989,1.686482906,-0.171781152,0.577733576,-0.985440671,1.436398983,2.010810137,1.670582891,1.227539897,0.996083796,0.459664434,1.296096683,1.268148303,0.111753792,0.074640751,2.858413219,2.947357655,0.745927155,0.70616889,0.175383747,1.62106967,0.617506385,-0.656622469,0.933876097,-0.278872937,-1.295776606,0.144549072,-0.326357156,0.087202869,-0.635873616,,-0.552172005,-0.625463903,0.023253269,-0.541335464,-2.310140133,0.113794804,-1.71087575,-0.192774072,-0.589469433,-1.638248801,1.545993447,0.984373152,1.142130136,1.15006125,0.07564351,,-0.489065707,1.199739814,1.727642417,-0.783478498,-0.603402853,-2.222197056,-1.37121284,-1.574855208,-0.608515024,-1.570221305,-2.871841431,-2.182399511,-2.50515914,-0.994222641,-1.052114129,-1.589820623,-1.349657893,-1.85243547,-0.135636702,-0.244355947,-0.565621555,-0.746244729,-0.99167341,-0.774032474,1.529446006,1.374820828,0.900674403,-0.222089186,1_31,12,"{""type"":""Point"",""coordinates"":[-72.37718975193927,42.31735949831727]}"
0000000000000000000c,-2.875109673,,-0.220759556,0.075316928,,,0.124950409,-0.491894156,-0.041230328,,-0.87144506,0.974787354,,,,1.182011843,,-0.01744917,,-0.691587985,,1.634131193,1.629353881,0.457976162,0.653600514,,,,0.375606477,0.006661941,0.913678408,0.782878518,0.517662406,-0.182269037,0.824002087,-0.927826524,0.363038927,0.280178398,,0.12864542,0.180432349,,0.496691406,-0.271341264,,,-0.122998774,-0.564459264,-0.325031102,,-3.385558605,0.469697416,0.985966444,,-0.194124743,-0.249397799,1.738087773,-0.135969132,0.695287347,-0.945851922,1.562710047,2.175994635,1.973555446,1.484035373,1.16379571,0.398408711,1.240024924,1.52934134,0.294511527,-0.011095681,2.603129864,2.601586103,0.972862244,0.814556241,0.013787296,1.33089745,0.558845103,-1.006617546,0.47409755,-0.418181747,-1.232179523,0.164261743,-0.56462127,0.337008148,-0.757845879,,-0.518942475,-0.745485783,0.10040573,-0.251079977,-2.439213037,-0.022024607,-1.691076398,-0.343922406,-0.473473251,-1.820725441,1.688911915,0.836013317,0.913617253,1.347706795,-0.170307308,,-0.411107123,0.494118303,1.897670984,0.447689623,-0.485671818,-2.970413446,-1.72668004,-1.92256856,-0.800206244,-1.723721504,-2.729457378,-1.914141536,-2.286036015,-0.986850381,-0.746654987,-1.184867859,-0.669228435,-1.654802442,-1.07818687,-0.373451412,-0.430880874,-0.742379427,-1.795918107,-0.503544211,1.110045314,1.442081809,1.436803937,-0.21208249,1_32,13,"{""type"":""Point"",""coordinates"":[-72.37763120294356,42.317230184386716]}"
0000000000000000000d,-3.24496603,,-0.085520849,0.139344081,,,-0.025162801,-0.589141011,0.03053836,,-1.312699556,0.120549262,,,,0.74659121,,0.084372446,,-1.255019069,,1.709139705,0.256653875,0.802304566,0.627346516,,,,0.452171266,0.170874462,0.921087742,1.00363493,0.425802171,-0.361218572,0.677616596,-1.33011353,0.583456516,-0.146194875,,0.40645659,0.212787509,,0.333388895,-0.663312078,,,0.588412464,-0.166576847,-0.369802952,,-3.117971897,1.135449767,1.297564268,,-0.04607505,0.185977638,2.15423131,0.295402259,1.324151397,-0.608042538,1.432129025,2.36185956,2.105095387,1.53571856,0.897233963,-0.09698239,1.165136576,1.19378233,-0.093565851,-0.224264532,2.408691883,2.329533815,0.759143472,0.825647414,0.128694564,1.078763604,0.421235859,-0.179717094,0.697649658,-0.443610221,-1.158498883,0.310103863,-0.584329486,0.292777896,-0.601903737,,-0.860587895,-0.961984158,,-0.578361392,-2.211275339,0.024160182,-1.786129117,-0.269648552,-0.588045597,-1.72844553,1.525429606,0.718913555,0.926601708,0.947644591,0.254291564,,1.062399864,0.077155225,1.67045486,1.078494191,-0.656937599,-3.32130003,-2.952268124,-1.609510422,-0.299022347,-0.945856214,-2.317396641,-1.650193572,-1.938668251,-0.515166581,-0.496517152,-1.088274837,-3.234833717,-1.388888597,-2.156216621,-0.45058772,-0.284785926,-0.354887754,-1.8238765,-0.382160991,1.005936384,1.154017925,1.110309243,0.075882792,1_33,14,"{""type"":""Point"",""coordinates"":[-72.37682410565289,42.31629823226655]}"
0000000000000000000e,-2.550524235,,0.051524352,0.541719437,,,0.320569664,-0.222069427,0.088937901,,-1.234493375,0.921724737,,,,0.342068076,,-0.24093239,,,,1.187841296,,0.576082408,0.215221092,,,,-0.095306888,-0.558058143,0.435557276,0.876620114,0.223557159,0.099929318,0.214339465,-0.498960763,0.632461607,0.270473689,,-0.112874858,0.472884655,,0.385825813,-0.947259963,,,0.661320806,0.11370486,-0.432338446,,,0.758301139,0.920188546,,-0.329231292,-0.067100152,1.243951321,0.051244669,,-1.437665462,-0.81055361,2.045312166,1.704795122,1.104414821,0.395308167,-0.288442552,1.89937973,1.281886101,0.050957903,-0.397014409,2.019775391,2.144759178,-0.270838559,0.432812244,-0.307922751,1.03380537,0.45988825,-0.530749679,0.27894187,0.179300129,,0.581339478,-0.274649769,,-0.737006545,,-0.430212557,,,-0.498373538,-2.321577072,-0.153278112,-1.415151834,-0.343120307,,-1.767704725,1.197112918,0.800673187,1.283355951,1.022638559,0.13181898,,1.719282508,1.249627113,1.76831615,-0.770870507,0.184014425,-0.384792,-1.014986277,-0.215464264,-0.046729192,-0.691513658,-2.058918953,,-1.745818615,-0.536251366,-0.166859895,-0.558277071,,-0.903827131,-0.207757875,0.025634069,-0.288478434,-0.042873032,-1.359166503,-1.099686027,0.595281243,0.67025578,,-0.107540682,1_34,15,"{""type"":""Point"",""coordinates"":[-72.38205909028964,42.316489973611844]}"
0000000000000000000f,-2.633030176,,0.140586764,0.048112828,,,0.908335745,-0.220087945,0.087372944,,-0.974259198,1.365072966,,,,0.482078254,,0.651478946,,0.372552514,,2.050111771,1.906214476,0.404253185,0.179153055,,2.056100607,,0.456949532,-0.226337194,-0.403710932,0.658018827,0.383260936,0.00966949,0.377789438,-1.417522073,0.558968186,0.018054109,,0.015850447,-0.131255835,,0.536259115,-0.204278737,,,0.847724497,-0.271600634,-0.227855965,,-2.618671417,0.556209087,0.257438242,,0.275734782,-0.656159699,0.208582953,-0.117679797,0.498079896,-0.747146845,-0.760417461,2.059471607,,0.578080416,0.785579383,-0.297078997,0.651444614,0.370048374,-0.514818132,-0.435592413,1.475344658,1.001286983,-0.294132859,-0.293088764,-0.081366345,0.727476537,0.868527532,0.266057044,0.016422747,-0.232517451,-1.019621372,1.049297094,-0.026342381,,,,0.815068364,0.545131922,0.40830487,0.041453037,-1.383654475,0.937453747,-0.278727263,0.025942538,0.22779724,-1.239857078,2.141587019,1.014343619,1.014241219,1.562645078,,,,0.534089088,1.349845529,-0.792528093,1.239482522,0.680814266,0.715828896,0.943584263,-0.979528725,-0.430359006,-1.70403254,-0.796351731,-0.985657752,-0.940670669,0.77042383,-0.147828549,,-0.32408455,-0.807715714,-0.01069724,-0.765019655,-0.181933895,-0.758782029,-1.922948241,0.450426459,-0.129971609,-0.32842505,-0.419439793,1_38,16,"{""type"":""Point"",""coordinates"":[-72.38244703208129,42.319539998732395]}"
